ID_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,ID_CENTRO,ID_PLAN_ESTUDIO,NOMBRE_CENTRO_EXT,FECHA_CARGA,NOMBRE_CENTRO,NOMBRE_PLAN_ESTUDIO,NOMBRE_PLAN_ESTUDIO_EXT
70,Universidad Ciencias de Llabrés (Palau),37,5,Facultad de Información y Documentación 5 (Zamora),2020-10-16,Facultad de Información y Documentación 5,Grado en Psicología,"Grado en Psicología (Facultad de Información y Documentación 5, Málaga)"
15,Universidad Ciencias de Quintana (Uzbekistán),38,89,Escuela Técnica Superior de Arquitectura 6 (Murcia),2020-03-24,Escuela Técnica Superior de Arquitectura 6,Doctorado en Medicina,"Doctorado en Medicina (Escuela Técnica Superior de Arquitectura 6, Alicante)"
60,Universidad Politécnica de Guadalajara (Ucrania),34,67,Facultad de Educación 2 (Valladolid),2020-04-16,Facultad de Educación 2,Grado en Biología,"Grado en Biología (Facultad de Educación 2, Barcelona)"
88,Universidad Medicina de Zamora (República Centroafricana),41,75,Centro Adscrito de Formación Profesional 9 (Girona),2022-10-02,Centro Adscrito de Formación Profesional 9,Grado en Farmacia,"Grado en Farmacia (Centro Adscrito de Formación Profesional 9, Córdoba)"
69,Universidad Técnica de Murcia (Mongolia),50,61,Escuela Universitaria de Turismo 18 (Girona),2023-09-29,Escuela Universitaria de Turismo 18,Grado en Ingeniería Informática,"Grado en Ingeniería Informática (Escuela Universitaria de Turismo 18, Madrid)"
43,Universidad Medicina de Coloma (Austria),27,38,Centro de Estudios Superiores (Alicante),2022-03-02,Centro de Estudios Superiores,Grado en Química,"Grado en Química (Centro de Estudios Superiores, Málaga)"
94,Universidad Politécnica de Zamora (Bangladesh),37,8,Facultad de Información y Documentación 5 (Zamora),2023-10-06,Facultad de Información y Documentación 5,Grado en Química,"Grado en Química (Facultad de Información y Documentación 5, Zaragoza)"
85,Universidad Medicina de Arcos (Burkina Faso),19,95,Escuela Técnica Superior de Ingeniería Agronómica (Melilla),2020-05-16,Escuela Técnica Superior de Ingeniería Agronómica,Grado en Psicología,"Grado en Psicología (Escuela Técnica Superior de Ingeniería Agronómica, Oviedo)"
17,Universidad Artes de Azcona (Mongolia),33,36,Facultad de Veterinaria 1 (Jaén),2022-03-20,Facultad de Veterinaria 1,Grado en Arquitectura,"Grado en Arquitectura (Facultad de Veterinaria 1, Barcelona)"
36,Universidad Medicina de Alegria (Argentina),17,95,Escuela Técnica Superior de Ingeniería Industrial (Valencia),2020-10-06,Escuela Técnica Superior de Ingeniería Industrial,Grado en Psicología,"Grado en Psicología (Escuela Técnica Superior de Ingeniería Industrial, Madrid)"
