ID_PLAN_ESTUDIO,ID_PLAN_ESTUDIO_NK,ORD_NOMBRE_PLAN_ESTUDIO,NOMBRE_PLAN_ESTUDIO
1,10001,GRADO EN INGENIERÍA INFORMÁTICA,Grado en Ingeniería Informática
2,10002,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Grado en Administración y Dirección de Empresas
3,10003,GRADO EN DERECHO,Grado en Derecho
4,10004,GRADO EN MEDICINA,Grado en Medicina
5,10005,GRADO EN PSICOLOGÍA,Grado en Psicología
6,10006,GRADO EN ARQUITECTURA,Grado en Arquitectura
7,10007,GRADO EN BIOLOGÍA,Grado en Biología
8,10008,GRADO EN QUÍMICA,Grado en Química
9,10009,GRADO EN FÍSICA,Grado en Física
10,10010,GRADO EN MATEMÁTICAS,Grado en Matemáticas
11,10011,GRADO EN HISTORIA,Grado en Historia
12,10012,GRADO EN FILOLOGÍA HISPÁNICA,Grado en Filología Hispánica
13,10013,GRADO EN ECONOMÍA,Grado en Economía
14,10014,GRADO EN ENFERMERÍA,Grado en Enfermería
15,10015,GRADO EN FARMACIA,Grado en Farmacia
16,10016,GRADO EN VETERINARIA,Grado en Veterinaria
17,10017,GRADO EN PERIODISMO,Grado en Periodismo
18,10018,GRADO EN COMUNICACIÓN AUDIOVISUAL,Grado en Comunicación Audiovisual
19,10019,GRADO EN BELLAS ARTES,Grado en Bellas Artes
20,10020,GRADO EN EDUCACIÓN PRIMARIA,Grado en Educación Primaria
21,10021,MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL,Máster Universitario en Inteligencia Artificial
22,10022,MÁSTER UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS,Máster Universitario en Administración de Empresas
23,10023,MÁSTER UNIVERSITARIO EN ABOGACÍA,Máster Universitario en Abogacía
24,10024,MÁSTER UNIVERSITARIO EN INVESTIGACIÓN BIOMÉDICA,Máster Universitario en Investigación Biomédica
25,10025,MÁSTER UNIVERSITARIO EN PSICOLOGÍA GENERAL SANITARIA,Máster Universitario en Psicología General Sanitaria
26,10026,DOCTORADO EN INFORMÁTICA,Doctorado en Informática
27,10027,DOCTORADO EN ECONOMÍA Y EMPRESA,Doctorado en Economía y Empresa
28,10028,DOCTORADO EN DERECHO,Doctorado en Derecho
29,10029,DOCTORADO EN MEDICINA,Doctorado en Medicina
30,10030,DOCTORADO EN PSICOLOGÍA,Doctorado en Psicología
31,10031,GRADO EN INGENIERÍA INFORMÁTICA,Grado en Ingeniería Informática
32,10032,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Grado en Administración y Dirección de Empresas
33,10033,GRADO EN DERECHO,Grado en Derecho
34,10034,GRADO EN MEDICINA,Grado en Medicina
35,10035,GRADO EN PSICOLOGÍA,Grado en Psicología
36,10036,GRADO EN ARQUITECTURA,Grado en Arquitectura
37,10037,GRADO EN BIOLOGÍA,Grado en Biología
38,10038,GRADO EN QUÍMICA,Grado en Química
39,10039,GRADO EN FÍSICA,Grado en Física
40,10040,GRADO EN MATEMÁTICAS,Grado en Matemáticas
41,10041,GRADO EN HISTORIA,Grado en Historia
42,10042,GRADO EN FILOLOGÍA HISPÁNICA,Grado en Filología Hispánica
43,10043,GRADO EN ECONOMÍA,Grado en Economía
44,10044,GRADO EN ENFERMERÍA,Grado en Enfermería
45,10045,GRADO EN FARMACIA,Grado en Farmacia
46,10046,GRADO EN VETERINARIA,Grado en Veterinaria
47,10047,GRADO EN PERIODISMO,Grado en Periodismo
48,10048,GRADO EN COMUNICACIÓN AUDIOVISUAL,Grado en Comunicación Audiovisual
49,10049,GRADO EN BELLAS ARTES,Grado en Bellas Artes
50,10050,GRADO EN EDUCACIÓN PRIMARIA,Grado en Educación Primaria
51,10051,MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL,Máster Universitario en Inteligencia Artificial
52,10052,MÁSTER UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS,Máster Universitario en Administración de Empresas
53,10053,MÁSTER UNIVERSITARIO EN ABOGACÍA,Máster Universitario en Abogacía
54,10054,MÁSTER UNIVERSITARIO EN INVESTIGACIÓN BIOMÉDICA,Máster Universitario en Investigación Biomédica
55,10055,MÁSTER UNIVERSITARIO EN PSICOLOGÍA GENERAL SANITARIA,Máster Universitario en Psicología General Sanitaria
56,10056,DOCTORADO EN INFORMÁTICA,Doctorado en Informática
57,10057,DOCTORADO EN ECONOMÍA Y EMPRESA,Doctorado en Economía y Empresa
58,10058,DOCTORADO EN DERECHO,Doctorado en Derecho
59,10059,DOCTORADO EN MEDICINA,Doctorado en Medicina
60,10060,DOCTORADO EN PSICOLOGÍA,Doctorado en Psicología
61,10061,GRADO EN INGENIERÍA INFORMÁTICA,Grado en Ingeniería Informática
62,10062,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Grado en Administración y Dirección de Empresas
63,10063,GRADO EN DERECHO,Grado en Derecho
64,10064,GRADO EN MEDICINA,Grado en Medicina
65,10065,GRADO EN PSICOLOGÍA,Grado en Psicología
66,10066,GRADO EN ARQUITECTURA,Grado en Arquitectura
67,10067,GRADO EN BIOLOGÍA,Grado en Biología
68,10068,GRADO EN QUÍMICA,Grado en Química
69,10069,GRADO EN FÍSICA,Grado en Física
70,10070,GRADO EN MATEMÁTICAS,Grado en Matemáticas
71,10071,GRADO EN HISTORIA,Grado en Historia
72,10072,GRADO EN FILOLOGÍA HISPÁNICA,Grado en Filología Hispánica
73,10073,GRADO EN ECONOMÍA,Grado en Economía
74,10074,GRADO EN ENFERMERÍA,Grado en Enfermería
75,10075,GRADO EN FARMACIA,Grado en Farmacia
76,10076,GRADO EN VETERINARIA,Grado en Veterinaria
77,10077,GRADO EN PERIODISMO,Grado en Periodismo
78,10078,GRADO EN COMUNICACIÓN AUDIOVISUAL,Grado en Comunicación Audiovisual
79,10079,GRADO EN BELLAS ARTES,Grado en Bellas Artes
80,10080,GRADO EN EDUCACIÓN PRIMARIA,Grado en Educación Primaria
81,10081,MÁSTER UNIVERSITARIO EN INTELIGENCIA ARTIFICIAL,Máster Universitario en Inteligencia Artificial
82,10082,MÁSTER UNIVERSITARIO EN ADMINISTRACIÓN DE EMPRESAS,Máster Universitario en Administración de Empresas
83,10083,MÁSTER UNIVERSITARIO EN ABOGACÍA,Máster Universitario en Abogacía
84,10084,MÁSTER UNIVERSITARIO EN INVESTIGACIÓN BIOMÉDICA,Máster Universitario en Investigación Biomédica
85,10085,MÁSTER UNIVERSITARIO EN PSICOLOGÍA GENERAL SANITARIA,Máster Universitario en Psicología General Sanitaria
86,10086,DOCTORADO EN INFORMÁTICA,Doctorado en Informática
87,10087,DOCTORADO EN ECONOMÍA Y EMPRESA,Doctorado en Economía y Empresa
88,10088,DOCTORADO EN DERECHO,Doctorado en Derecho
89,10089,DOCTORADO EN MEDICINA,Doctorado en Medicina
90,10090,DOCTORADO EN PSICOLOGÍA,Doctorado en Psicología
91,10091,GRADO EN INGENIERÍA INFORMÁTICA,Grado en Ingeniería Informática
92,10092,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,Grado en Administración y Dirección de Empresas
93,10093,GRADO EN DERECHO,Grado en Derecho
94,10094,GRADO EN MEDICINA,Grado en Medicina
95,10095,GRADO EN PSICOLOGÍA,Grado en Psicología
96,10096,GRADO EN ARQUITECTURA,Grado en Arquitectura
97,10097,GRADO EN BIOLOGÍA,Grado en Biología
98,10098,GRADO EN QUÍMICA,Grado en Química
99,10099,GRADO EN FÍSICA,Grado en Física
100,10100,GRADO EN MATEMÁTICAS,Grado en Matemáticas
