ID_TITULACION,NOMBRE_TITULACION,ID_TIPO_TITULACION,NOMBRE_TIPO_TITULACION,FECHA_CARGA
1,Doctorado en Odontología,3,Doctorado,2020-04-15
2,Título Propio en Traducción e Interpretación,4,Título Propio,2023-03-29
3,Ingeniería Técnica de Ingeniería Química,8,Ingeniería Técnica,2022-05-28
4,Título Propio en Educación,4,Título Propio,2020-09-20
5,Título Propio en Nutrición y Dietética,4,Título Propio,2023-07-27
6,Arquitectura Técnica de Ciencias Políticas,10,Arquitectura Técnica,2022-03-10
7,Licenciatura de Biotecnología,6,Licenciatura,2020-12-21
8,Doctorado en Farmacia,3,Doctorado,2022-04-05
9,Grado en Química,1,Grado,2021-10-13
10,Arquitectura de Derecho,9,Arquitectura,2022-11-25
11,Ingeniería Técnica de Nutrición y Dietética,8,Ingeniería Técnica,2020-11-20
12,Arquitectura Técnica de Ingeniería Informática,10,Arquitectura Técnica,2022-06-14
13,Licenciatura de Veterinaria,6,Licenciatura,2021-04-18
14,Ingeniería de Arquitectura,7,Ingeniería,2020-07-22
15,Arquitectura de Historia del Arte,9,Arquitectura,2023-12-25
16,Ingeniería Técnica de Derecho,8,Ingeniería Técnica,2020-09-15
17,Título Propio en Ingeniería Informática,4,Título Propio,2022-10-29
18,Ingeniería de Geología,7,Ingeniería,2020-08-30
19,Arquitectura Técnica de Estadística,10,Arquitectura Técnica,2023-07-17
20,Ingeniería de Ingeniería Química,7,Ingeniería,2023-03-27
21,Arquitectura Técnica de Estudios Ingleses,10,Arquitectura Técnica,2022-03-13
22,Título Propio en Odontología,4,Título Propio,2023-07-08
23,Máster Universitario en Fisioterapia,2,Máster Universitario,2021-06-16
24,Licenciatura de Sociología,6,Licenciatura,2023-02-06
25,Máster Universitario en Veterinaria,2,Máster Universitario,2020-11-21
26,Ingeniería de Psicología,7,Ingeniería,2021-10-22
27,Licenciatura de Filosofía,6,Licenciatura,2021-02-21
28,Máster Universitario en Medicina,2,Máster Universitario,2020-07-09
29,Doctorado en Ingeniería Industrial,3,Doctorado,2020-07-10
30,Arquitectura de Periodismo,9,Arquitectura,2020-02-22
31,Diplomatura de Ingeniería Informática,5,Diplomatura,2022-06-14
32,Ingeniería Técnica de Fisioterapia,8,Ingeniería Técnica,2020-01-24
33,Licenciatura de Estadística,6,Licenciatura,2023-07-11
34,Arquitectura de Administración de Empresas,9,Arquitectura,2023-04-30
35,Título Propio en Física,4,Título Propio,2020-11-09
36,Grado en Economía,1,Grado,2020-02-26
37,Máster Universitario en Odontología,2,Máster Universitario,2023-06-19
38,Ingeniería de Estudios Ingleses,7,Ingeniería,2023-12-20
39,Máster Universitario en Ingeniería Agrónoma,2,Máster Universitario,2023-01-18
40,Arquitectura de Educación,9,Arquitectura,2020-06-10
41,Grado en Educación,1,Grado,2023-03-17
42,Máster Universitario en Arquitectura,2,Máster Universitario,2022-02-22
43,Ingeniería Técnica de Farmacia,8,Ingeniería Técnica,2020-02-21
44,Ingeniería de Química,7,Ingeniería,2020-09-24
45,Grado en Arquitectura,1,Grado,2022-07-18
46,Ingeniería de Ingeniería de Telecomunicaciones,7,Ingeniería,2023-07-23
47,Licenciatura de Ciencias Ambientales,6,Licenciatura,2023-07-17
48,Ingeniería de Economía,7,Ingeniería,2022-01-03
49,Ingeniería Técnica de Estudios Ingleses,8,Ingeniería Técnica,2021-01-17
50,Licenciatura de Ingeniería de Telecomunicaciones,6,Licenciatura,2021-05-05
