ID_ASIGNATURA,NOMBRE_ASIGNATURA,ID_ASIGNATURA_NK
1,Fisicoquímica II Experimental,1
2,Genética I,2
3,Microeconomía Práctica,3
4,Fisiología Especial,4
5,Fisicoquímica I,5
6,Derecho Civil,6
7,Estadística,7
8,Botánica Experimental,8
9,Historia Antigua Básica,9
10,Programación Fundamental Experimental,10
11,Finanzas II,11
12,Literatura I,12
13,Derecho Penal,13
14,Finanzas Aplicada Experimental,14
15,Zoología,15
16,Anatomía,16
17,Historia Moderna Avanzada,17
18,Historia Moderna II para Científicos,18
19,Microbiología Computacional,19
20,Mecánica General Teórica,20
21,Estadística para Ingenieros,21
22,Derecho Laboral II,22
23,Historia Antigua I,23
24,Cálculo Computacional,24
25,Algoritmos II para Ingenieros,25
26,Bases de Datos III,26
27,Sistemas para Ingenieros,27
28,Cuántica Especial para Ingenieros,28
29,Derecho Laboral,29
30,Termodinámica para Ingenieros,30
31,Cirugía Especial,31
32,Derecho Mercantil General,32
33,Óptica Teórica,33
34,Fisicoquímica Aplicada Experimental,34
35,Fonética Aplicada,35
36,Derecho Administrativo,36
37,Química Orgánica I Experimental,37
38,Gramática III para Ingenieros,38
39,Química Inorgánica Práctica,39
40,Cálculo General Computacional,40
41,Electromagnetismo,41
42,Marketing Teórica,42
43,Fisiología Especial,43
44,Gramática,44
45,Cálculo Especial,45
46,Estadística III,46
47,Microeconomía Aplicada para Ingenieros,47
48,Cálculo II Teórica,48
49,Macroeconomía General Teórica,49
50,Sistemas III,50
51,Derecho Laboral Fundamental,51
52,Patología,52
53,Óptica III,53
54,Mecánica General Teórica,54
55,Cálculo Avanzada Práctica,55
56,Anatomía II,56
57,Bioquímica II,57
58,Finanzas,58
59,Sistemas,59
60,Álgebra III Experimental,60
61,Historia Contemporánea Especial,61
62,Fisiología,62
63,Estadística,63
64,Programación III Práctica,64
65,Algoritmos Aplicada Teórica,65
66,Farmacología III,66
67,Farmacología,67
68,Química Inorgánica Fundamental,68
69,Genética,69
70,Derecho Mercantil I,70
71,Macroeconomía Especial,71
72,Química Orgánica,72
73,Botánica General,73
74,Historia Contemporánea Fundamental,74
75,Derecho Penal III,75
76,Historia Antigua,76
77,Bioquímica II,77
78,Sistemas Avanzada,78
79,Lingüística General Teórica,79
80,Arqueología II,80
81,Derecho Civil III para Ingenieros,81
82,Historia Medieval Avanzada,82
83,Química Inorgánica,83
84,Derecho Penal Básica,84
85,Macroeconomía,85
86,Gramática I,86
87,Cirugía General,87
88,Electromagnetismo II,88
89,Algoritmos Fundamental Computacional,89
90,Derecho Administrativo Especial,90
91,Cálculo,91
92,Farmacología Computacional,92
93,Química Orgánica Aplicada para Ingenieros,93
94,Contabilidad II para Científicos,94
95,Termodinámica Aplicada,95
96,Ecología Especial,96
97,Analítica Aplicada para Ingenieros,97
98,Literatura Experimental,98
99,Cuántica Avanzada,99
100,Química Orgánica,100
101,Microeconomía Teórica,101
102,Derecho Civil Especial,102
103,Farmacología Teórica,103
104,Gramática Básica Práctica,104
105,Sistemas,105
106,Fisiología Avanzada,106
107,Ecología I Experimental,107
108,Electromagnetismo Básica,108
109,Patología Básica Experimental,109
110,Derecho Administrativo Básica,110
111,Semántica Fundamental,111
112,Marketing Básica,112
113,Redes Práctica,113
114,Contabilidad Práctica,114
115,Zoología para Ingenieros,115
116,Farmacología I,116
117,Historia Moderna,117
118,Derecho Civil Avanzada Computacional,118
119,Fisicoquímica Aplicada,119
120,Gramática Fundamental para Científicos,120
121,Botánica Fundamental para Científicos,121
122,Macroeconomía,122
123,Ecología Básica,123
124,Patología I,124
125,Cirugía Avanzada,125
126,Lingüística Básica,126
127,Derecho Civil Avanzada,127
128,Finanzas Especial para Científicos,128
129,Microeconomía III,129
130,Macroeconomía,130
131,Cuántica II,131
132,Cuántica General,132
133,Historia Contemporánea,133
134,Macroeconomía Fundamental para Científicos,134
135,Álgebra Aplicada,135
136,Zoología,136
137,Zoología,137
138,Ecología Aplicada,138
139,Derecho Penal Aplicada para Científicos,139
140,Óptica,140
141,Electromagnetismo III,141
142,Sistemas General Práctica,142
143,Microbiología I,143
144,Programación,144
145,Historia Contemporánea,145
146,Electromagnetismo Básica,146
147,Derecho Civil III,147
148,Derecho Civil Básica,148
149,Programación Básica,149
150,Literatura III,150
151,Análisis Especial,151
152,Microeconomía,152
153,Algoritmos II,153
154,Lingüística Básica,154
155,Analítica Especial,155
156,Álgebra Básica Computacional,156
157,Finanzas I,157
158,Cálculo Aplicada,158
159,Arqueología Computacional,159
160,Microeconomía,160
161,Historia Moderna Especial,161
162,Derecho Penal,162
163,Cálculo Experimental,163
164,Farmacología,164
165,Marketing,165
166,Óptica General,166
167,Historia Antigua,167
168,Análisis Avanzada,168
169,Marketing II Experimental,169
170,Analítica General,170
171,Cuántica I,171
172,Cuántica III para Ingenieros,172
173,Historia Moderna para Ingenieros,173
174,Literatura Avanzada,174
175,Redes II,175
176,Historia Contemporánea I para Ingenieros,176
177,Derecho Laboral,177
178,Algoritmos Fundamental,178
179,Literatura Aplicada,179
180,Macroeconomía Aplicada Teórica,180
181,Cirugía Especial,181
182,Programación Aplicada,182
183,Contabilidad II,183
184,Cálculo General para Ingenieros,184
185,Microbiología,185
186,Derecho Penal Aplicada para Ingenieros,186
187,Derecho Civil II Experimental,187
188,Arqueología Especial,188
189,Análisis General,189
190,Farmacología III Práctica,190
191,Fisiología General,191
192,Cirugía General,192
193,Derecho Mercantil Básica Experimental,193
194,Contabilidad General,194
195,Cirugía Computacional,195
196,Literatura,196
197,Genética III,197
198,Semántica II,198
