ID_ESTUDIO,ID_ESTUDIO_NK,NOMBRE_ESTUDIO,ORD_NOMBRE_ESTUDIO
1,100,Doctorado en Sociología,DOCTORADO EN SOCIOLOGIA
2,200,Doble Grado en Matemáticas y Odontología,DOBLE GRADO EN MATEMATICAS Y ODONTOLOGIA
3,300,Doble Grado en Ingeniería Mecánica y Ciencia de Datos,DOBLE GRADO EN INGENIERIA MECANICA Y CIENCIA DE DATOS
4,400,Máster Universitario en Economía,MASTER UNIVERSITARIO EN ECONOMIA
5,500,Máster en Historia del Arte,MASTER EN HISTORIA DEL ARTE
6,600,Máster en Turismo,MASTER EN TURISMO
7,700,Grado en Historia del Arte,GRADO EN HISTORIA DEL ARTE
8,800,Grado en Historia,GRADO EN HISTORIA
9,900,Máster Universitario en Estudios Ingleses,MASTER UNIVERSITARIO EN ESTUDIOS INGLESES
10,1000,Máster en Ingeniería Aeroespacial,MASTER EN INGENIERIA AEROESPACIAL
11,1100,Doble Grado en Matemáticas y Educación Primaria,DOBLE GRADO EN MATEMATICAS Y EDUCACION PRIMARIA
12,1200,Doble Grado en Sociología y Ciencias de la Actividad Física y del Deporte,DOBLE GRADO EN SOCIOLOGIA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE
13,1300,Máster en Sociología,MASTER EN SOCIOLOGIA
14,1400,Doctorado en Historia del Arte,DOCTORADO EN HISTORIA DEL ARTE
15,1500,Doble Grado en Psicología y Relaciones Internacionales,DOBLE GRADO EN PSICOLOGIA Y RELACIONES INTERNACIONALES
16,1600,Doble Grado en Bellas Artes y Trabajo Social,DOBLE GRADO EN BELLAS ARTES Y TRABAJO SOCIAL
17,1700,Doble Grado en Biología y Nutrición Humana y Dietética,DOBLE GRADO EN BIOLOGIA Y NUTRICION HUMANA Y DIETETICA
18,1800,Máster en Veterinaria,MASTER EN VETERINARIA
19,1900,Doble Grado en Sociología y Odontología,DOBLE GRADO EN SOCIOLOGIA Y ODONTOLOGIA
20,2000,Doctorado en Bellas Artes,DOCTORADO EN BELLAS ARTES
21,2100,Máster Universitario en Nutrición Humana y Dietética,MASTER UNIVERSITARIO EN NUTRICION HUMANA Y DIETETICA
22,2200,Doble Grado en Medicina y Arquitectura,DOBLE GRADO EN MEDICINA Y ARQUITECTURA
23,2300,Doctorado en Ingeniería Aeroespacial,DOCTORADO EN INGENIERIA AEROESPACIAL
24,2400,Doble Grado en Nutrición Humana y Dietética y Ciencias de la Actividad Física y del Deporte,DOBLE GRADO EN NUTRICION HUMANA Y DIETETICA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE
25,2500,Doble Grado en Bellas Artes y Ciencias Ambientales,DOBLE GRADO EN BELLAS ARTES Y CIENCIAS AMBIENTALES
26,2600,Doctorado en Enfermería,DOCTORADO EN ENFERMERIA
27,2700,Máster Universitario en Educación Infantil,MASTER UNIVERSITARIO EN EDUCACION INFANTIL
28,2800,Doctorado en Física,DOCTORADO EN FISICA
29,2900,Doctorado en Relaciones Internacionales,DOCTORADO EN RELACIONES INTERNACIONALES
30,3000,Grado en Ciencias Ambientales,GRADO EN CIENCIAS AMBIENTALES
31,3100,Máster en Ciencia de Datos,MASTER EN CIENCIA DE DATOS
32,3200,Doble Grado en Historia del Arte y Veterinaria,DOBLE GRADO EN HISTORIA DEL ARTE Y VETERINARIA
33,3300,Máster en Filosofía,MASTER EN FILOSOFIA
34,3400,Doble Grado en Matemáticas y Arquitectura,DOBLE GRADO EN MATEMATICAS Y ARQUITECTURA
35,3500,Doctorado en Química,DOCTORADO EN QUIMICA
36,3600,Máster en Trabajo Social,MASTER EN TRABAJO SOCIAL
37,3700,Máster en Filología Hispánica,MASTER EN FILOLOGIA HISPANICA
38,3800,Doble Grado en Ingeniería Industrial y Psicología,DOBLE GRADO EN INGENIERIA INDUSTRIAL Y PSICOLOGIA
39,3900,Doble Grado en Ciencias de la Actividad Física y del Deporte y Publicidad y Relaciones Públicas,DOBLE GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE Y PUBLICIDAD Y RELACIONES PUBLICAS
40,4000,Grado en Química,GRADO EN QUIMICA
41,4100,Máster Universitario en Derecho,MASTER UNIVERSITARIO EN DERECHO
42,4200,Máster en Historia,MASTER EN HISTORIA
43,4300,Doctorado en Ingeniería Industrial,DOCTORADO EN INGENIERIA INDUSTRIAL
44,4400,Doctorado en Biología,DOCTORADO EN BIOLOGIA
45,4500,Doctorado en Arquitectura,DOCTORADO EN ARQUITECTURA
46,4600,Doble Grado en Ingeniería Industrial y Odontología,DOBLE GRADO EN INGENIERIA INDUSTRIAL Y ODONTOLOGIA
47,4700,Doble Grado en Economía y Historia,DOBLE GRADO EN ECONOMIA Y HISTORIA
48,4800,Doble Grado en Turismo y Ingeniería Industrial,DOBLE GRADO EN TURISMO Y INGENIERIA INDUSTRIAL
49,4900,Máster Universitario en Ingeniería Química,MASTER UNIVERSITARIO EN INGENIERIA QUIMICA
50,5000,Doble Grado en Química y Administración y Dirección de Empresas,DOBLE GRADO EN QUIMICA Y ADMINISTRACION Y DIRECCION DE EMPRESAS
